class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",accuracy,1.0000,1.0000,0.9862,0.9678,0.9552,0.9506
2,"Sag",accuracy,0.9977,0.9977,0.9977,0.9920,0.9724,0.9425
3,"Swell",accuracy,1.0000,1.0000,1.0000,0.9920,0.9598,0.9414
4,"Interruption",accuracy,0.9977,0.9977,0.9977,0.9977,0.9931,0.9851
5,"Impulsive transient",accuracy,1.0000,1.0000,0.9862,0.9713,0.9598,0.9379
6,"Oscillatory transient",accuracy,1.0000,1.0000,1.0000,0.9989,0.9862,0.9448
7,"Harmonics",accuracy,1.0000,1.0000,1.0000,0.9989,0.9966,0.9793
8,"Harmonics + Sag",accuracy,0.9989,0.9977,1.0000,0.9966,0.9759,0.9506
9,"Harmonics + Swell",accuracy,0.9977,0.9977,0.9977,0.9966,0.9828,0.9460
10,"Flicker",accuracy,1.0000,1.0000,1.0000,1.0000,0.9943,0.9517
11,"Flicker + Sag",accuracy,1.0000,1.0000,1.0000,0.9989,0.9931,0.9425
12,"Flicker + Swell",accuracy,0.9989,0.9989,0.9989,0.9989,0.9862,0.9506
13,"Sag + Osc. transient",accuracy,0.9966,0.9966,0.9977,0.9931,0.9816,0.9563
14,"Swell + Osc. transient",accuracy,0.9989,0.9989,0.9977,0.9931,0.9678,0.9460
15,"Sag + Harmonics",accuracy,0.9713,0.9678,0.9713,0.9655,0.9506,0.9322
16,"Swell + Harmonics",accuracy,0.9759,0.9759,0.9816,0.9632,0.9517,0.9322
17,"Notch",accuracy,1.0000,1.0000,1.0000,0.9989,0.9828,0.9575
18,"Harm + Sag + Flicker",accuracy,0.9989,0.9977,0.9989,0.9977,0.9770,0.9552
19,"Harm + Swell + Flicker",accuracy,0.9954,0.9954,0.9966,0.9920,0.9805,0.9483
20,"Sag + Harm + Flicker",accuracy,0.9736,0.9713,0.9747,0.9690,0.9655,0.9494
21,"Swell + Harm + Flicker",accuracy,0.9782,0.9793,0.9828,0.9747,0.9540,0.9483
