class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",accuracy,1.0000,1.0000,0.9862,0.9678,0.9563,0.9437
2,"Sag",accuracy,0.9977,0.9977,0.9977,0.9943,0.9747,0.9437
3,"Swell",accuracy,1.0000,1.0000,1.0000,0.9920,0.9563,0.9391
4,"Interruption",accuracy,0.9977,0.9977,0.9977,0.9977,0.9920,0.9828
5,"Impulsive transient",accuracy,1.0000,1.0000,0.9862,0.9690,0.9609,0.9402
6,"Oscillatory transient",accuracy,0.9989,1.0000,1.0000,0.9989,0.9851,0.9471
7,"Harmonics",accuracy,1.0000,1.0000,1.0000,0.9989,0.9966,0.9770
8,"Harmonics + Sag",accuracy,1.0000,0.9989,1.0000,0.9966,0.9770,0.9540
9,"Harmonics + Swell",accuracy,0.9989,0.9977,0.9977,0.9966,0.9839,0.9448
10,"Flicker",accuracy,1.0000,1.0000,1.0000,0.9977,0.9920,0.9506
11,"Flicker + Sag",accuracy,1.0000,1.0000,1.0000,1.0000,0.9931,0.9494
12,"Flicker + Swell",accuracy,1.0000,0.9989,1.0000,0.9966,0.9839,0.9506
13,"Sag + Osc. transient",accuracy,0.9966,0.9977,0.9977,0.9931,0.9805,0.9563
14,"Swell + Osc. transient",accuracy,1.0000,0.9977,0.9989,0.9954,0.9655,0.9517
15,"Sag + Harmonics",accuracy,0.9713,0.9713,0.9736,0.9678,0.9540,0.9368
16,"Swell + Harmonics",accuracy,0.9759,0.9759,0.9816,0.9644,0.9506,0.9310
17,"Notch",accuracy,1.0000,1.0000,1.0000,0.9977,0.9805,0.9586
18,"Harm + Sag + Flicker",accuracy,1.0000,0.9989,1.0000,0.9977,0.9770,0.9460
19,"Harm + Swell + Flicker",accuracy,0.9977,0.9966,0.9966,0.9920,0.9793,0.9471
20,"Sag + Harm + Flicker",accuracy,0.9736,0.9747,0.9770,0.9724,0.9621,0.9483
21,"Swell + Harm + Flicker",accuracy,0.9782,0.9782,0.9828,0.9724,0.9517,0.9517
22,"Sag + Harm + OT",accuracy,0.9690,0.9667,0.9667,0.9667,0.9701,0.9506
23,"Swell + Harm + OT",accuracy,0.9759,0.9736,0.9805,0.9632,0.9609,0.9333
24,"Harm + Sag + OT",accuracy,0.9943,0.9943,0.9943,0.9931,0.9828,0.9540
25,"Harm + Swell + OT",accuracy,1.0000,1.0000,1.0000,0.9977,0.9839,0.9529
26,"Harm + Sag + Flicker + OT",accuracy,0.9943,0.9943,0.9943,0.9943,0.9805,0.9448
27,"Harm + Swell + Flicker + OT",accuracy,0.9977,0.9977,0.9977,0.9920,0.9793,0.9586
