class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",accuracy,0.9931,0.9995,0.9823,0.9669,0.9554,0.9501
2,"Sag",accuracy,0.9931,0.9961,0.9966,0.9887,0.9729,0.9591
3,"Swell",accuracy,0.9947,0.9986,0.9986,0.9855,0.9664,0.9533
4,"Interruption",accuracy,0.9972,0.9979,0.9977,0.9970,0.9949,0.9869
5,"Impulsive transient",accuracy,0.9922,0.9998,0.9828,0.9651,0.9547,0.9517
6,"Oscillatory transient",accuracy,0.9991,0.9993,0.9995,0.9929,0.9851,0.9591
7,"Harmonics",accuracy,0.9931,1.0000,1.0000,1.0000,0.9956,0.9715
8,"Harmonics + Sag",accuracy,0.9972,0.9989,0.9977,0.9931,0.9816,0.9600
9,"Harmonics + Swell",accuracy,0.9970,0.9995,0.9989,0.9956,0.9784,0.9556
10,"Flicker",accuracy,0.9929,0.9993,0.9972,0.9915,0.9811,0.9460
11,"Flicker + Sag",accuracy,0.9811,0.9956,0.9972,0.9966,0.9777,0.9455
12,"Flicker + Swell",accuracy,0.9791,0.9966,0.9995,0.9931,0.9759,0.9338
13,"Sag + Osc. transient",accuracy,0.9954,0.9972,0.9975,0.9917,0.9811,0.9618
14,"Swell + Osc. transient",accuracy,0.9989,0.9995,0.9993,0.9897,0.9720,0.9513
15,"Sag + Harmonics",accuracy,0.9786,0.9795,0.9805,0.9731,0.9566,0.9294
16,"Swell + Harmonics",accuracy,0.9814,0.9818,0.9789,0.9660,0.9621,0.9432
17,"Notch",accuracy,0.9922,1.0000,0.9908,0.9752,0.9692,0.9338
18,"Harm + Sag + Flicker",accuracy,0.9952,0.9972,0.9972,0.9943,0.9761,0.9513
19,"Harm + Swell + Flicker",accuracy,0.9954,0.9970,0.9977,0.9917,0.9749,0.9508
20,"Sag + Harm + Flicker",accuracy,0.9786,0.9802,0.9807,0.9736,0.9628,0.9513
21,"Swell + Harm + Flicker",accuracy,0.9814,0.9818,0.9782,0.9653,0.9584,0.9451
22,"Sag + Harm + OT",accuracy,0.9789,0.9800,0.9809,0.9752,0.9356,0.9621
23,"Swell + Harm + OT",accuracy,0.9830,0.9830,0.9793,0.9648,0.9464,0.8225
24,"Harm + Sag + OT",accuracy,0.9945,0.9945,0.9947,0.9913,0.9644,0.9607
25,"Harm + Swell + OT",accuracy,0.9975,0.9991,0.9989,0.9970,0.9680,0.9556
26,"Harm + Sag + Flicker + OT",accuracy,0.9940,0.9943,0.9943,0.9917,0.9671,0.9563
27,"Harm + Swell + Flicker + OT",accuracy,0.9959,0.9979,0.9975,0.9917,0.9657,0.9234
28,"Sag + Harm + Flicker + OT",accuracy,0.9777,0.9789,0.9798,0.9715,0.9366,0.9501
29,"Swell + Harm + Flicker + OT",accuracy,0.9830,0.9832,0.9800,0.9628,0.9485,0.9407
1,"Pure sinusoidal",precision,0.8000,1.0000,0.6615,0.4169,0.2708,0.2064
2,"Sag",precision,0.9489,0.9570,0.9677,0.8679,0.5632,0.3787
3,"Swell",precision,0.9487,0.9800,0.9752,0.8332,0.4157,0.0741
