class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",accuracy,1.0000,1.0000,0.9871,0.9678,0.9568,0.9278
2,"Sag",accuracy,0.9966,0.9977,0.9975,0.9929,0.9733,0.9490
3,"Swell",accuracy,0.9991,0.9998,0.9995,0.9894,0.9651,0.9536
4,"Interruption",accuracy,0.9975,0.9979,0.9977,0.9968,0.9956,0.9878
5,"Impulsive transient",accuracy,0.9993,0.9998,0.9869,0.9641,0.9480,0.9487
6,"Oscillatory transient",accuracy,0.9993,0.9998,0.9998,0.9991,0.9901,0.9556
7,"Harmonics",accuracy,1.0000,1.0000,1.0000,1.0000,0.9982,0.9782
8,"Harmonics + Sag",accuracy,0.9986,0.9991,0.9984,0.9954,0.9862,0.9508
9,"Harmonics + Swell",accuracy,0.9995,0.9998,0.9998,0.9989,0.9844,0.9384
10,"Flicker",accuracy,1.0000,1.0000,1.0000,0.9998,0.9903,0.9522
11,"Flicker + Sag",accuracy,0.9995,1.0000,1.0000,0.9995,0.9844,0.9326
12,"Flicker + Swell",accuracy,0.9993,0.9995,0.9993,0.9972,0.9802,0.9437
13,"Sag + Osc. transient",accuracy,0.9975,0.9977,0.9975,0.9938,0.9857,0.9614
14,"Swell + Osc. transient",accuracy,0.9993,0.9995,0.9995,0.9956,0.9738,0.9513
15,"Sag + Harmonics",accuracy,0.9816,0.9818,0.9805,0.9747,0.9561,0.9455
16,"Swell + Harmonics",accuracy,0.9832,0.9825,0.9802,0.9726,0.9547,0.9211
17,"Notch",accuracy,1.0000,1.0000,1.0000,0.9945,0.9793,0.9506
18,"Harm + Sag + Flicker",accuracy,0.9986,0.9991,0.9982,0.9956,0.9816,0.9584
19,"Harm + Swell + Flicker",accuracy,0.9986,0.9989,0.9986,0.9943,0.9816,0.9554
20,"Sag + Harm + Flicker",accuracy,0.9825,0.9828,0.9814,0.9775,0.9648,0.9471
21,"Swell + Harm + Flicker",accuracy,0.9830,0.9821,0.9800,0.9731,0.9584,0.9421
22,"Sag + Harm + OT",accuracy,0.9798,0.9802,0.9805,0.9756,0.9653,0.9575
