class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",accuracy,0.9853,0.9844,0.9802,0.9577,0.9503,0.9517
2,"Sag",accuracy,0.9975,0.9975,0.9975,0.9931,0.9745,0.9446
3,"Swell",accuracy,0.9998,0.9998,0.9995,0.9878,0.9586,0.9444
4,"Interruption",accuracy,0.9993,0.9993,0.9993,0.9982,0.9968,0.9772
5,"Impulsive transient",accuracy,0.9839,0.9828,0.9807,0.9605,0.9547,0.9411
6,"Oscillatory transient",accuracy,0.9991,0.9991,0.9989,0.9982,0.9864,0.9405
7,"Harmonics",accuracy,1.0000,1.0000,1.0000,1.0000,0.9968,0.9655
8,"Harmonics + Sag",accuracy,0.9993,0.9993,0.9993,0.9972,0.9821,0.9432
9,"Harmonics + Swell",accuracy,0.9984,0.9989,0.9991,0.9975,0.9660,0.9409
10,"Flicker",accuracy,1.0000,1.0000,1.0000,0.9995,0.9892,0.9333
11,"Flicker + Sag",accuracy,0.9979,0.9979,0.9979,0.9984,0.9883,0.9439
12,"Flicker + Swell",accuracy,1.0000,1.0000,0.9998,0.9968,0.9655,0.9338
13,"Sag + Osc. transient",accuracy,0.9972,0.9972,0.9966,0.9938,0.9761,0.9497
14,"Swell + Osc. transient",accuracy,0.9986,0.9984,0.9991,0.9899,0.9625,0.9439
15,"Sag + Harmonics",accuracy,0.9634,0.9641,0.9657,0.9628,0.9575,0.9400
16,"Swell + Harmonics",accuracy,0.9621,0.9621,0.9607,0.9570,0.9554,0.9354
17,"Notch",accuracy,0.9986,0.9984,0.9989,0.9959,0.9795,0.9471
18,"Harm + Sag + Flicker",accuracy,0.9995,0.9993,0.9991,0.9972,0.9775,0.9561
19,"Harm + Swell + Flicker",accuracy,0.9954,0.9952,0.9952,0.9920,0.9676,0.9414
20,"Sag + Harm + Flicker",accuracy,0.9637,0.9644,0.9660,0.9651,0.9607,0.9510
21,"Swell + Harm + Flicker",accuracy,0.9623,0.9621,0.9609,0.9570,0.9464,0.9389
22,"Sag + Harm + OT",accuracy,0.9616,0.9621,0.9618,0.9644,0.9616,0.9483
23,"Swell + Harm + OT",accuracy,0.9653,0.9655,0.9637,0.9600,0.9559,0.9414
24,"Harm + Sag + OT",accuracy,0.9986,0.9989,0.9986,0.9972,0.9853,0.9485
25,"Harm + Swell + OT",accuracy,0.9972,0.9977,0.9982,0.9963,0.9731,0.9501
26,"Harm + Sag + Flicker + OT",accuracy,0.9984,0.9984,0.9979,0.9970,0.9809,0.9529
27,"Harm + Swell + Flicker + OT",accuracy,0.9943,0.9940,0.9943,0.9906,0.9680,0.9485
28,"Sag + Harm + Flicker + OT",accuracy,0.9618,0.9618,0.9618,0.9637,0.9533,0.9460
29,"Swell + Harm + Flicker + OT",accuracy,0.9632,0.9639,0.9621,0.9623,0.9517,0.9448
1,"Pure sinusoidal",precision,0.7088,0.6964,0.6421,0.4221,0.3264,0.1903
2,"Sag",precision,0.9606,0.9606,0.9606,0.8803,0.6224,0.1902
3,"Swell",precision,0.9935,1.0000,1.0000,0.8291,0.3830,0.0890
4,"Interruption",precision,0.9871,0.9871,0.9871,0.9677,0.9312,0.6570
5,"Impulsive transient",precision,1.0000,1.0000,1.0000,0.3409,0.3375,0.1484
6,"Oscillatory transient",precision,0.9806,0.9806,0.9746,0.9800,0.8094,0.2259
7,"Harmonics",precision,1.0000,1.0000,1.0000,1.0000,0.9724,0.5005
8,"Harmonics + Sag",precision,1.0000,1.0000,1.0000,0.9666,0.7812,0.2040
9,"Harmonics + Swell",precision,0.9933,0.9935,1.0000,0.9679,0.5066,0.1989
10,"Flicker",precision,1.0000,1.0000,1.0000,0.9871,0.8548,0.1900
11,"Flicker + Sag",precision,0.9800,0.9800,0.9800,0.9867,0.8273,0.2340
12,"Flicker + Swell",precision,1.0000,1.0000,0.9935,0.9199,0.5110,0.1614
13,"Sag + Osc. transient",precision,0.9391,0.9391,0.9206,0.8688,0.6800,0.2558
14,"Swell + Osc. transient",precision,0.9675,0.9556,0.9746,0.8597,0.4586,0.1758
15,"Sag + Harmonics",precision,0.4759,0.4864,0.5068,0.4720,0.4092,0.1288
16,"Swell + Harmonics",precision,0.4565,0.4542,0.4491,0.3808,0.3465,0.1348
17,"Notch",precision,0.9640,0.9583,0.9933,1.0000,0.7945,0.2204
18,"Harm + Sag + Flicker",precision,0.9871,0.9806,0.9806,0.9381,0.6556,0.3745
19,"Harm + Swell + Flicker",precision,0.8911,0.8854,0.8807,0.8345,0.5494,0.1936
20,"Sag + Harm + Flicker",precision,0.4471,0.4587,0.4792,0.4844,0.4092,0.2413
21,"Swell + Harm + Flicker",precision,0.4290,0.4184,0.3878,0.3642,0.2886,0.1584
22,"Sag + Harm + OT",precision,0.4322,0.4701,0.5297,0.4790,0.4013,0.1823
23,"Swell + Harm + OT",precision,0.5088,0.5008,0.4748,0.4314,0.3669,0.1553
24,"Harm + Sag + OT",precision,0.9679,0.9740,0.9679,0.9542,0.8003,0.2867
25,"Harm + Swell + OT",precision,0.9540,0.9667,0.9735,0.9657,0.6609,0.1996
26,"Harm + Sag + Flicker + OT",precision,0.9933,0.9933,0.9867,0.9862,0.7544,0.2786
27,"Harm + Swell + Flicker + OT",precision,0.9640,0.9637,0.9711,0.8991,0.5392,0.1836
28,"Sag + Harm + Flicker + OT",precision,0.4501,0.4516,0.4535,0.4719,0.3684,0.2121
29,"Swell + Harm + Flicker + OT",precision,0.4622,0.4776,0.4458,0.4462,0.2964,0.1286
1,"Pure sinusoidal",recall,1.0000,1.0000,1.0000,0.6733,0.4200,0.1467
2,"Sag",recall,0.9667,0.9667,0.9667,0.9267,0.6667,0.2000
3,"Swell",recall,1.0000,0.9933,0.9867,0.8200,0.3200,0.0600
4,"Interruption",recall,0.9933,0.9933,0.9933,0.9800,0.9800,0.7267
5,"Impulsive transient",recall,0.5333,0.5000,0.4400,0.2133,0.3600,0.1533
6,"Oscillatory transient",recall,0.9933,0.9933,0.9933,0.9667,0.8000,0.2800
7,"Harmonics",recall,1.0000,1.0000,1.0000,1.0000,0.9333,0.4467
8,"Harmonics + Sag",recall,0.9800,0.9800,0.9800,0.9533,0.6733,0.2133
9,"Harmonics + Swell",recall,0.9600,0.9733,0.9733,0.9600,0.5667,0.2333
10,"Flicker",recall,1.0000,1.0000,1.0000,1.0000,0.8333,0.3000
11,"Flicker + Sag",recall,0.9600,0.9600,0.9600,0.9667,0.8600,0.2600
12,"Flicker + Swell",recall,1.0000,1.0000,1.0000,0.9933,0.6067,0.2133
13,"Sag + Osc. transient",recall,0.9867,0.9867,0.9867,0.9667,0.5933,0.2067
14,"Swell + Osc. transient",recall,0.9933,1.0000,1.0000,0.8533,0.4200,0.1733
15,"Sag + Harmonics",recall,0.6800,0.6867,0.7400,0.6600,0.4467,0.0933
16,"Swell + Harmonics",recall,0.5333,0.5400,0.5400,0.4200,0.3200,0.1600
17,"Notch",recall,1.0000,1.0000,0.9733,0.8800,0.5733,0.2467
18,"Harm + Sag + Flicker",recall,1.0000,1.0000,0.9933,0.9867,0.7600,0.3800
19,"Harm + Swell + Flicker",recall,0.9933,0.9933,1.0000,0.9600,0.5733,0.2267
20,"Sag + Harm + Flicker",recall,0.2733,0.2867,0.2800,0.2867,0.3333,0.1467
21,"Swell + Harm + Flicker",recall,0.3933,0.3800,0.3533,0.3600,0.4000,0.1533
22,"Sag + Harm + OT",recall,0.2867,0.2867,0.2733,0.2867,0.2600,0.1467
23,"Swell + Harm + OT",recall,0.4267,0.4333,0.4467,0.3867,0.3000,0.1333
24,"Harm + Sag + OT",recall,0.9933,0.9933,0.9933,0.9667,0.7667,0.3333
25,"Harm + Swell + OT",recall,0.9667,0.9667,0.9733,0.9267,0.5067,0.1467
26,"Harm + Sag + Flicker + OT",recall,0.9600,0.9600,0.9533,0.9267,0.6867,0.2067
